,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
South Dakota,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3
Tennessee,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7
Texas,7.1,7.1,7.1,7.2,7.3,7.2,7.2,7.4,7.6,7.9,8.2,8.4,8.1,8.3,8.6,8.7,9,8.9
Utah,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Vermont,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Virginia,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.7,2.7,2.6
Washington,2.3,2.3,2.4,2.3,2.3,2.3,2.3,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5
West Virginia,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Wisconsin,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Wyoming,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2
